clip,title,prompt
44,Vorthan entra por el lado opuesto,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vorthan (opposite side), @Vera, @Stella. Shot/lens: wide symmetrical; the family on one side, @Vorthan entering opposite, the Orb between. Camera: slow lateral, holding the standoff. Light: Orb light splitting the room between them. Action: @Vorthan enters from the far side at the same moment — a held, breath-held stare across the chamber. Mood: the race about to break. Audio: SFX only — a tense low drone, the Orb pulse. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
45,STAGING TEMÁTICO (la elección),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella (center), @Vera (one side), @Orbe (other side). Shot/lens: symmetrical wide composition — @Stella centered, the @Orbe on one side, her mother on the other; the visual of her impossible choice (duty vs love). Camera: held, balanced; almost still. Light: Orb-warm on one side, @Vera lit on the other. Action: @Stella stands caught between the Orb and her mother — the thematic image of the whole film. Mood: the dilemma, crystallized. Audio: SFX only — low drone, two competing pulses. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
46,"""go for the Orb! NOW!""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera, @Stella. Props: @Orbe. Shot/lens: @Vera shouting, @Stella breaking into a sprint toward the Orb. Camera: snap-pan from @Vera to @Stella running. Light: Orb glow ahead. Action: @Vera screams the order; @Stella bolts for the @Orbe. Dialogue (@Vera): ""Go for the Orb! NOW!"" Mood: ignition. Audio: SFX only — shout, running, Orb hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
47,robots sobre Vera,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera (shielding @SelkaBebe), @RobotImperial units. Shot/lens: dynamic medium; @Vera fighting one-armed, baby shielded. Camera: handheld with the struggle. Light: Orb warmth cut by robot shadows. Action: @RobotImperial units close on @Vera; she fights protecting @SelkaBebe, unable to follow @Stella. Mood: trapped, fierce. Audio: SFX only — energy clashes, servos, baby cry. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
48,entra S1G1,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @S1G1, @Vera. Shot/lens: low menacing wide as @S1G1 strides in; @Vera's dawning realization. Camera: slow push to @S1G1's single optic, then to @Vera's face. Light: @S1G1 darker than everything, swallowing Orb light. Action: the dark assassin @S1G1 enters, silent and fast; @Vera understands this is an execution. Mood: doom arriving. Audio: SFX only — a low predatory servo whine, silence around it. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
49,"esconde a la bebé, se planta","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera, @SelkaBebe, @S1G1. Shot/lens: medium; @Vera tucks the baby into a safe niche, then squares up. Camera: settle as she plants her stance. Light: baby in a pocket of warm light, @S1G1 a shadow opposite. Action: @Vera hides @SelkaBebe safely in a panel niche and stands to face @S1G1. Mood: a mother's last stand. Audio: SFX only — baby whimper, Vera's breath, servo whine. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
50,Vera vs S1G1 / la derriba,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera, @S1G1. Shot/lens: dynamic combat wide; @Vera gives everything; @S1G1 overpowers her. Camera: kinetic handheld, then a hard beat as she's struck down by an energy blast. Light: energy flashes, no blood. Action: @Vera fights with all she has; @S1G1 knocks her down with an energy wave (no blood, no wound). Mood: losing battle. Audio: SFX only — energy impacts, a heavy fall. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
51,"""STELLA, RUN!""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera (down), @SelkaBebe. Shot/lens: low on @Vera fallen, reaching, the baby beneath her. Camera: push to her face as she screams. Light: Orb glow on her desperate face. Action: @Vera, falling, covers @SelkaBebe with her body and screams. Dialogue (@Vera): ""STELLA, RUN!"" Mood: maternal desperation. Audio: SFX only — her scream, baby cry. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
52,Stella se da vuelta (rompe la regla),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella. Props: @Orbe (within reach). Shot/lens: @Stella three steps from the Orb, hand out — then she turns back toward her mother. Camera: a held beat, then whip as she reverses direction. Light: Orb glow on her outstretched hand. Action: @Stella, fingertips from the @Orbe, turns away from it and runs back toward @Vera — breaking the one rule, for love. Mood: the choice, made wrong-but-human. Audio: SFX only — her gasp, footsteps reversing. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
53,Vorthan la atrapa por la trenza,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vorthan, @Stella. Shot/lens: @Vorthan catches @Stella by her long braid, lifting her dangling. Camera: push to his cruel calm, then to her kicking feet. Light: cold on him, warm Orb behind. Action: @Vorthan seizes @Stella by the braid and holds her hanging; he laughs softly. Dialogue (@Vorthan): ""So like your mother. Running toward what she loves."" Mood: cruel, intimate menace. Audio: SFX only — his low laugh, her struggling. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
54,primer plano: Stella colgada,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella. Shot/lens: tight close-up of @Stella's face, hung by the hair, crying, unable to break free. Camera: slow push to her tears. Light: Orb-warm tears, cold around. Action: @Stella's face — rage and helplessness — as she dangles, watching the unthinkable about to happen. Mood: anguish. Audio: SFX only — her sobbing breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
55,"el escudo / la luz se apaga / ""MOM!""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera, @Stella, @S1G1. Shot/lens: @Vera on the floor raising her hands → a light shield wraps @Stella; behind @Vera, @S1G1 lowers a light-lance; a flash crosses her chest and her glow goes out. Camera: wide to catch the shield + the killing light, then to Stella's scream. Death shown as her vital light extinguishing — no blood, no wound. Light: the shield blooms; @Vera's inner light snuffs to grey. Action: @Vera shields @Stella as @S1G1's light-lance extinguishes @Vera's glow; @Stella screams. Dialogue (@Stella): ""MOM!"" Mood: devastation. Audio: SFX only — shield hum, a single sharp light-strike, Stella's scream. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
56,"""run"" / corta la trenza","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera (dying in light), @Stella. Props: @CuchilloLaser. Shot/lens: @Vera mouths ""run"" as her light fades; @Stella draws the @CuchilloLaser and cuts her braid, dropping free. Camera: intercut close — mother's fading face / the braid severed by light. Light: @Vera's glow gone; the light-blade flares. Action: @Vera whispers ""Run""; @Stella slices through her braid with the light-blade and falls free as the shield dies. Dialogue (@Vera, faint): ""Run."" Mood: grief turned to survival. Audio: SFX only — the light-blade snap, the braid parting, a body falling. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
57,corre al Orbe,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella, @RobotImperial. Props: @Orbe. Shot/lens: tracking @Stella sprinting to the Orb, dodging a robot. Camera: fast follow. Light: Orb glow pulling her forward. Action: broken but moving, @Stella runs to the @Orbe, dodging a @RobotImperial. Mood: desperate drive. Audio: SFX only — running, servos, Orb hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
58,toma el Orbe,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella. Props: @Orbe, @LlaveDeLuz. Shot/lens: close on her hand closing around the Orb; the palm-key igniting. Camera: push as the Orb shrinks and integrates into her hand. Light: brilliant flare as Orb meets the sigil. Action: @Stella seizes the @Orbe; the @LlaveDeLuz ignites; the Orb integrates into her palm. Mood: power, fate sealed. Audio: SFX only — a rising surge, a bright chime. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
59,"insert: ""MAX""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella (wrist). Props: @MonitorMAX. Shot/lens: extreme close-up of the wrist monitor's bar filling to ""MAX"". Camera: micro push on the readout. Light: the monitor's glow. Action: the @MonitorMAX charge bar fills and reads MAX — the clock that returns at the climax. Mood: charged, ticking. Audio: SFX only — a rising tone, a confirming beep. No music. Negative: no blood, no gore, no guns, no on-screen text. (Only the device readout ""MAX"" is allowed.)"
60,despega hacia el ducto,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. A narrow duct high in the ceiling. Characters: @Stella. Shot/lens: low wide; thrusters fire, @Stella launches upward toward the ceiling duct. Camera: fast tilt-up following her launch. Light: thruster flare. Action: @Stella's suit thrusters roar; she rockets toward the ceiling duct — the only way out. Mood: escape velocity. Audio: SFX only — thruster ignition, rushing air. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
61,la última mirada,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella (above), @Vera (still, below), @SelkaBebe (crying below). Shot/lens: @Stella's POV downward — her fallen mother and the crying baby, far below. Camera: a held beat, the image searing in. Light: warm Orb light over a scene of loss. Action: for a split second @Stella looks down at her dead mother and crying baby sister — the last look that will haunt her for twenty years. Mood: unbearable, branded. Audio: SFX only — muffled baby cry, a held breath, distant chaos. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
62,S1G1 la persigue en el ducto,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Inside the tight ceiling duct. Characters: @Stella, @S1G1. Shot/lens: claustrophobic; @S1G1 thrusters chasing inside the duct, inches from her boots. Camera: fast forward tracking in the cramped tunnel. Light: strobing thruster light in the dark duct. Action: @Stella flees up the duct; @S1G1 pursues, gaining, centimeters from her boots. Mood: breathless chase. Audio: SFX only — roaring thrusters, scraping metal. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
63,S1G1 se atasca y explota,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. The duct opening to open sky. Characters: @Stella, @S1G1. Shot/lens: @S1G1 jams in the narrow opening; sparks; a clean explosion blasts @Stella out into the sky. Camera: burst out into daylight with her. Light: dark duct to sudden bright sky; clean blast light (no gore). Action: @S1G1 wedges in the opening, sparks, and explodes cleanly; the shockwave spits @Stella out into open sky. Mood: narrow survival. Audio: SFX only — metal grinding, a clean explosion, rushing wind. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
64,Vorthan levanta a la bebé,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vorthan, @SelkaBebe, @Vera (still on the floor), @RobotImperial. Shot/lens: @Vorthan lifts the baby; robots move toward @Vera's body. Camera: slow, cold, deliberate. Light: the Orb gone with Stella; the room dimmer now. Action: @Vorthan calmly lifts @SelkaBebe; @RobotImperial units move to take @Vera's body. Mood: cold aftermath. Audio: SFX only — baby quieting, servo steps. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
65,"""she's dead. find Stella.""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vorthan, @SelkaBebe, @Vera (left on the floor), @RobotImperial. Shot/lens: @Vorthan stops the robots with a gesture, turns away with the baby, leaving @Vera behind. Camera: pull back, leaving @Vera small and alone on the floor. Light: cold, a fading warmth around the body. Action: @Vorthan halts the robots, cold, and exits with the baby, abandoning @Vera's body. Dialogue (@Vorthan): ""What are you doing? She's dead. Go find Stella. We need that Orb."" Mood: chilling indifference. Audio: SFX only — his flat voice, retreating steps, silence over the body. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
66,Stella alcanza la nave,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @CiudadDorada — match its architecture, materials, colors; lush, detailed, painterly background. A landing nook by the park. Characters: @Stella. Props: @NaveStella. Shot/lens: @Stella drops onto @Vera's hidden ship; trembling hands at the controls. Camera: tight in the cockpit, then ignition. Light: daylight, console glow. Action: @Stella lands on @NaveStella, hands shaking, and starts it. Mood: shock, autopilot survival. Audio: SFX only — canopy, trembling breath, engine start. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
67,aparece la flota imperial,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @CiudadDorada — match its architecture, materials, colors; lush, detailed, painterly background. Golden city skyline. Characters: @Stella (in @NaveStella). Props: @NaveStella. Shot/lens: wide; @NaveStella lifts off as an imperial fleet appears on the horizon. Camera: rise with the ship, fleet looming. Light: warm city, cold fleet silhouettes. Action: @Stella takes off; the imperial fleet appears across the golden horizon. Mood: the net closing. Audio: SFX only — engines, distant fleet drone. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
68,establishing: la escala de la flota,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @CiudadDorada — match its architecture, materials, colors; lush, detailed, painterly background. Sky above the city. Characters: @Stella (tiny in @NaveStella). Shot/lens: vast wide; dozens of imperial ships dwarfing one small craft. Camera: slow reveal of the overwhelming odds. Light: the fleet darkening the golden sky. Action: the scale — one ship against an armada. Mood: hopeless odds. Audio: SFX only — a swelling fleet drone. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
69,persecución entre las torres,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @CiudadDorada — match its architecture, materials, colors; lush, detailed, painterly background. Between the city's towers and bridges. Characters: @Stella. Props: @NaveStella. Shot/lens: kinetic chase weaving between towers; pursuers crashing. Camera: fast follow + banking with the ship. Light: golden light flashing between structures. Action: @Stella flies brilliantly, weaving between towers, making pursuers crash (clean impacts, no gore). Mood: thrilling skill. Audio: SFX only — engines, near-misses, distant crashes. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
70,la encuadran,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @CiudadDorada — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella. Props: @NaveStella. Shot/lens: an imperial ship locks onto @NaveStella; an energy beam charges. Camera: tense tighten as the beam builds. Light: charging energy glow. Action: an imperial ship frames her; an energy beam is about to fire. Mood: the trap sprung. Audio: SFX only — a targeting tone, a charging whine. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
71,llegan las naves aliadas,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @CiudadDorada — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella, @PilotoAliada (ships). Props: @NaveStella. Shot/lens: the threatening ship explodes; allied ships swoop in firing energy beams, carving a path. Camera: whip to the rescue, energetic. Light: clean energy blasts. Action: the imperial ship bursts; allied ships appear, open fire with energy, and clear a path for @Stella. Mood: sudden hope. Audio: SFX only — explosion, energy fire, allied engines. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
72,la piloto aliada (cara),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @EspacioErdia — match its architecture, materials, colors; lush, detailed, painterly background. Allied cockpit. Characters: @PilotoAliada. Shot/lens: close on @PilotoAliada's resolute face in her cockpit. Camera: steady, intimate. Light: console glow on her face. Action: @PilotoAliada — the voice on the radio — calm, already resolved to die. Mood: noble sacrifice, a face to it. Audio: SFX only — cockpit hum, comms static. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
73,"""don't let our sacrifice be in vain""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @EspacioErdia — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @PilotoAliada, @Stella (intercut). Shot/lens: intercut allied ships interposing / @Stella listening. Camera: steady on the radio voice, cut to Stella's eyes. Light: energy flashes outside. Action: @PilotoAliada speaks to @Stella over the radio as allies shield her. Dialogue (@PilotoAliada, radio): ""Stella. Your mother told us. Don't let our sacrifice be in vain."" Mood: solemn, tragic. Audio: SFX only — radio voice, distant energy fire. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
74,"""go far. come back.""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @EspacioErdia — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella, @PilotoAliada (radio). Shot/lens: close on @Stella crying in the cockpit, then the allied charge. Camera: tight on her, then whip to the sacrifice. Light: console glow, energy flashes. Action: @Stella protests through tears; the radio voice gives its last instruction. Dialogue (@Stella): ""I don't even know you!"" — (@PilotoAliada, radio): ""Don't let anyone get that Orb. Go far. Get strong. Come back."" Mood: grief and duty. Audio: SFX only — Stella crying, radio, energy fire. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
75,los aliados se sacrifican,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @EspacioErdia — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella, @PilotoAliada (ships). Props: @NaveStella. Shot/lens: allied ships interpose and burst one by one; @Stella watches them die for her as she breaks for open space. Camera: her POV through the canopy at the sacrifice, then accelerate away. Light: clean bursts of energy receding. Action: the allies sacrifice themselves to clear her path; @Stella breaks into open space, alone. Mood: survivor's weight. Audio: SFX only — successive clean explosions, her breath, engines. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
76,el silencio del espacio,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @EspacioErdia — match its architecture, materials, colors; lush, detailed, painterly background. Deep space, @Erdia (sick golden planet) shrinking behind. Characters: @Stella (in @NaveStella). Shot/lens: wide; the small ship adrift, the planet receding. Camera: slow drift, vast quiet. Light: cold starlight, faint golden planet glow. Action: sudden silence; @Erdia shrinks behind the lone ship. Mood: desolate calm. Audio: SFX only — near-silence, a faint cockpit hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
77,oxígeno crítico,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @EspacioErdia — match its architecture, materials, colors; lush, detailed, painterly background. Cockpit interior. Characters: @Stella. Shot/lens: close on @Stella as a soft alarm pulses. Camera: slow push to her slowing breath. Light: a red warning glow pulsing on her face. Action: a soft alarm — OXYGEN CRITICAL; @Stella breathes slower, crying without sound. Mood: quiet suffocation. Audio: SFX only — a gentle warning beep, shallow breathing. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
78,ojos perdiendo el foco,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @EspacioErdia — match its architecture, materials, colors; lush, detailed, painterly background. Cockpit. Characters: @Stella. Shot/lens: extreme close-up on @Stella's eyes losing focus. Camera: micro push, soft rack to blur. Light: dimming, red pulse fading. Action: @Stella's eyes drift, on the edge of blacking out. Mood: slipping away. Audio: SFX only — muffling sound, faint heartbeat slowing. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
79,la palma en el tablero,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @EspacioErdia — match its architecture, materials, colors; lush, detailed, painterly background. Cockpit. Characters: @Stella. Props: @LlaveDeLuz, @Orbe. Shot/lens: she looks at her glowing palm, then presses it to the console. Camera: from her hand to the console lighting up. Light: the @LlaveDeLuz glow flooding into the panels. Action: @Stella looks at the @LlaveDeLuz / @Orbe in her hand and presses her palm to the console in desperation. Mood: instinctive last resort. Audio: SFX only — a rising energy surge through the ship. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
80,HÍPER SALTO,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @EspacioErdia — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella (in @NaveStella). Shot/lens: energy floods the ship, everything overloads, then a blinding white hyperjump swallows the frame. Camera: rush forward into a white bloom. Light: total white-out. Action: the energy overloads; @NaveStella tears into a hyperjump — a white flash swallows everything. White. Mood: violent transcendence. Audio: SFX only — a building roar, a snap, then silence into white. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
81,establishing: la plaza,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlazaPalacio — match its architecture, materials, colors; lush, detailed, painterly background. A vast plaza, an enormous crowd, still-blue sky. Characters: @Vorthan (distant, on a balcony), crowd. Shot/lens: huge establishing wide of the gathered people. Camera: slow crane over the crowd toward the balcony. Light: bright day, but the mood already heavy. Action: the people gather beneath a still-blue sky to hear the King. Mood: ominous calm. Audio: SFX only — a murmuring crowd, wind. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
82,"""we have been robbed""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlazaPalacio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vorthan. Shot/lens: strong medium of @Vorthan addressing the crowd, mournful and perfect. Camera: slow push to his face. Light: clean daylight, controlled. Action: @Vorthan speaks with practiced grief. Dialogue (@Vorthan): ""Today, we have been robbed."" Mood: manipulative sorrow. Audio: SFX only — his amplified voice, crowd hush. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
83,"""torn from our world""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlazaPalacio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vorthan, crowd. Shot/lens: medium, intercut with the horrified crowd. Camera: steady, then to the faces. Light: daylight. Action: @Vorthan names the loss; horror ripples through the plaza. Dialogue (@Vorthan): ""The Orb… has been torn from our world."" Mood: spreading dread. Audio: SFX only — his voice, a wave of gasps. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
84,"""our planet will die""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlazaPalacio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vorthan. Shot/lens: medium on @Vorthan delivering the prophecy. Camera: slow push. Light: daylight beginning to feel colder. Action: @Vorthan foretells the planet's death. Dialogue (@Vorthan): ""Without it, the light will fade. The water will fade. Our planet will die."" Mood: doom, weaponized. Audio: SFX only — his voice, uneasy crowd. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
