acto,secuencia,clip,tipo,encuadre,camara,accion,dialogo,dur_seg,acumulado
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,68,ESTABLISHING,"vast wide; the armada filling the frame, one small ship beneath it.",a slow reveal pulling out to show the impossible odds.,"the camera widens to reveal the true scale — an armada of @NaveImperial ships blackening the sky, and beneath them @NaveStella a single glinting speck, hopelessly outnumbered.",,12,11:01
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,69,ACCIÓN,kinetic chase weaving between towers; pursuers clipping and crashing.,a fast follow banking hard with the ship.,"@StellaPeloCorto flies like she was born to it, threading @NaveStella between honey-stone towers and under glowing bridges, juking so tight that two heavier @NaveImperial pursuers misjudge the gaps and slam into the architecture in clean bursts of light — but more keep coming.",,7,11:08
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,69A,ACCIÓN·insert,"chase wide, threading a closing gap, inverted.","camera bolted to the hull, banking hard.","@StellaPeloCorto threads @NaveStella through a closing gap between two bridges, inverted, the hull scraping sparks; her hands a blur on the controls, eyes ice-cold.",,4,11:12
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,69B,ACCIÓN·insert,over-shoulder as a pursuer clips a tower behind her.,whip-pan to the cartwheeling crash.,"an @NaveImperial ship misjudges the gap behind her, clips a honey-stone tower and cartwheels into a blooming fireball of clean light; debris rains past her canopy.",,4,11:16
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,70,ACCIÓN,an @NaveImperial ship frames @NaveStella; an energy beam charges.,a tense tighten as the weapon builds.,"a heavy imperial ship slides in behind @NaveStella and locks her dead-center in its sights; its energy-cannon spools up with a rising whine, light gathering at the muzzle, the shot a heartbeat from firing.",,7,11:23
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,70A,ACCIÓN·insert,"tight, she barrel-rolls off the lock at the last instant.",whip-roll with the ship as the beam sears past.,"at the last instant @StellaPeloCorto barrel-rolls @NaveStella off the targeting lock; the energy beam sears past exactly where she was, close enough to wash the cockpit white.",,4,11:27
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,71,ACCIÓN,"the pursuing ship explodes; @NaveAliada ships swoop in firing energy beams, carving a corridor.","a whip to the rescue, energetic and sweeping.","the @NaveImperial ship behind her erupts in a clean burst as a flight of @NaveAliada craft drops out of the sun, lancing energy-fire across the armada and tearing open a corridor of clear sky for @NaveStella to dive through.",,7,11:34
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,71A,ACCIÓN·insert,through-canopy as an allied ship slides into the beam.,push to her eyes catching the sacrifice.,an @NaveAliada ship slides deliberately into the beam meant for @StellaPeloCorto and blooms into light; through the canopy her eyes catch the pilot's silhouette an instant before it is gone.,,4,11:38
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,72,INSERT,close on @Piloto1's resolute face in her cockpit.,"steady, intimate, holding her gaze.","inside an @NaveAliada cockpit, @Piloto1 — steady, already at peace with how this ends — keys her comm and watches the battle through her canopy, fear nowhere on her face.",,6,11:44
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,73,ESTÁNDAR,intercut @NaveAliada ships shielding her / @StellaPeloCorto listening in her cockpit.,"steady on the radio voice, cutting to Stella's wet eyes.","@Piloto1's voice comes over @StellaPeloCorto's radio, calm and final, as @NaveAliada ships slide deliberately into the line of fire to cover her; @StellaPeloCorto stares at the comm, understanding what they are choosing to do for her.",,9,11:53
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,74,ACCIÓN,"close on @StellaPeloCorto crying in the cockpit, cut to the allied charge.","tight on her face, then a whip to the sacrifice outside.","@StellaPeloCorto shakes her head, crying out at the comm in protest, hands white on the controls; the radio voice answers with a last, gentle instruction as the @NaveAliada ships dive into the armada to hold the corridor open.",,7,12:00
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,75,ACCIÓN,@NaveAliada ships interpose and burst one by one; @StellaPeloCorto watches them die for her as she breaks for open space.,"her POV through the canopy at the sacrifice, then an acceleration away.","one by one the @NaveAliada ships throw themselves into the armada and bloom into clean bursts of light, each death buying her a few more seconds; @StellaPeloCorto watches through the canopy, tears running, then hauls @NaveStella around and accelerates into the open dark, alone with everyone's sacrifice on her shoulders.",,7,12:07
ACTO 1,8 — ESCENA: Sin oxígeno / híper salto,75A,ACCIÓN·insert,her path crossed by a burning allied ship shielding her.,"handheld of fugue, the wingmate spinning across frame.","@Piloto2's burning @NaveAliada spins across @StellaPeloCorto's path, shielding her for the final seconds, before it too bursts into clean light; @StellaPeloCorto's face breaks as she punches for open space.",,4,12:11
ACTO 1,8 — ESCENA: Sin oxígeno / híper salto,76,ESTÁNDAR,"wide; the small ship adrift, the planet receding into the dark.","a slow drift, vast and quiet.","the roar of battle drops to absolute silence; @NaveStella coasts alone through the void while @Erdia dwindles behind it, golden and faintly sick, the whole world she lost shrinking to a point of light.",,9,12:20
ACTO 1,8 — ESCENA: Sin oxígeno / híper salto,77,ACCIÓN,close on @StellaPeloCorto as a soft alarm pulses.,a slow push to her slowing breath.,"a soft alarm begins to pulse — oxygen critical — and @StellaPeloCorto's breathing slows and shallows; she sits limp in the harness, tears sliding sideways, too hollowed-out to fight, the red light washing over her in time with her fading breaths.",,7,12:27
ACTO 1,8 — ESCENA: Sin oxígeno / híper salto,78,INSERT,extreme close-up on @StellaPeloCorto's eyes losing focus.,a micro push with a soft rack into blur.,"extreme close on @StellaPeloCorto's grey-amber eyes as they drift and unfocus, lids growing heavy, the world sliding out of focus around the edges as she begins to black out.",,6,12:33
ACTO 1,8 — ESCENA: Sin oxígeno / híper salto,79,ESTÁNDAR,"she looks at her glowing palm, then presses it flat to the console.",from her hand to the console flooding with light.,"half-conscious, @StellaPeloCorto lifts her hand and stares at the @LlaveDeLuz and the @Orbe glowing beneath her skin, then presses her open palm to the console in pure desperation; light floods out of her hand into the ship, panels igniting one after another.",,9,12:42
ACTO 1,8 — ESCENA: Sin oxígeno / híper salto,80,ACCIÓN,"energy floods the ship, everything overloads, then a blinding white hyperjump swallows the frame.",a rush forward into a white bloom.,"the borrowed light overloads every system; @NaveStella shudders violently, seams blazing, and then snaps forward into a hyperjump — a blinding white flash tears the ship out of its universe and swallows the entire frame in white.",,7,12:49
ACTO 1,"9 — ESCENA: El discurso de Vorthan (Erdia, Año 0)",81,ESTABLISHING,huge establishing wide over the gathered people toward the balcony.,a slow crane over the sea of heads toward the distant King.,"the camera sails over a vast ocean of gathered citizens filling the plaza beneath banners and a blue sky, all faces turned up toward the small distant figure on the high balcony — a whole people about to be told who to hate.",,12,13:01
ACTO 1,"9 — ESCENA: El discurso de Vorthan (Erdia, Año 0)",82,EMOCIÓN,"strong medium of @Vorthan addressing the crowd, mournful and perfect.","a slow push to his composed, sorrowful face.","@Vorthan stands at the balcony's edge and lets a long, practiced silence hang before he speaks, his face a mask of shared grief, every gesture calculated to look like a man carrying his people's pain.",,11,13:12
ACTO 1,"9 — ESCENA: El discurso de Vorthan (Erdia, Año 0)",83,EMOCIÓN,"medium on @Vorthan, intercut with the horrified crowd.","steady on him, then cutting down to the faces.","@Vorthan names the loss with grave tenderness; the camera cuts to the crowd as a wave of gasps and grief ripples backward through the plaza, hands to mouths, the lie taking root.",,11,13:23
ACTO 1,"9 — ESCENA: El discurso de Vorthan (Erdia, Año 0)",84,EMOCIÓN,medium on @Vorthan delivering the prophecy.,a slow push.,"@Vorthan spreads his hands and foretells the planet's slow death, each phrase weighted to spread fear, the crowd below going silent and stricken beneath him.",,11,13:34
ACTO 1,"9 — ESCENA: El discurso de Vorthan (Erdia, Año 0)",85,ESTÁNDAR,"wide revealing the caged, beaten allies behind/below him.",a slow lateral move past the cages.,"the camera drifts across rows of cages flanking the balcony where the allies who saved @StellaPeloCorto stand captured and defeated, displayed to the crowd as proof — beaten but unbloodied — while @Vorthan gestures to them as traitors.",,9,13:43
ACTO 1,"9 — ESCENA: El discurso de Vorthan (Erdia, Año 0)",86,EMOCIÓN,a montage of faces in the crowd shifting from grief to rage in real time.,quick pushes across individual faces.,"the camera moves through the crowd catching faces mid-transformation — grief tightening into anger, tears drying into snarls, fists clenching — a people's love curdling into hatred before our eyes.",,11,13:54
ACTO 1,"9 — ESCENA: El discurso de Vorthan (Erdia, Año 0)",87,INSERT,strong close on @Vorthan delivering the name like a sentence.,"a push to his calm, cruel face.","@Vorthan lets the silence build, then hands the crowd their enemy — the name landing like a verdict, his sorrow never slipping even as the plaza erupts in fury beneath him.",,6,14:00
ACTO 1,"9 — ESCENA: El discurso de Vorthan (Erdia, Año 0)",88,EMOCIÓN,"@Vorthan holds @SelkaBebe before the crowd and, almost imperceptibly, strokes her head like a father; then to black.","a slow push to the tender-yet-wrong gesture, then a fade to black.","above the roaring crowd, @Vorthan lifts @SelkaBebe so all can see her, and — almost too small to notice — gently strokes her white hair like a doting father, the baby's grey-blue eyes blinking up at him; the image holds, intimate and deeply wrong, then cuts to black. END OF ACT 1.",,11,14:11
ACTO 2,"10 — ESCENA: La nave nodriza / ""te recogí"" · *(89-95)*",89,ESTABLISHING,wide establishing of the cavernous bay.,slow drift through the gloom toward the wreck.,"the camera glides through the immense, silent bay, revealing @NaveStella broken and held in the claws of something far older and bigger than anything on Erdia.",,12,14:23
ACTO 2,"10 — ESCENA: La nave nodriza / ""te recogí"" · *(89-95)*",90,INSERT,"close on @StellaPeloCorto waking, disoriented.",a slow push as she checks her hand first.,"@StellaPeloCorto jolts awake on the metal floor; before anything else her eyes snap to her palm — the @LlaveDeLuz still glows, the @Orbe still inside — and a flicker of relief crosses her exhausted face.",,6,14:29
ACTO 2,"10 — ESCENA: La nave nodriza / ""te recogí"" · *(89-95)*",90A,ACCIÓN·insert,primerísimo plano on her face.,slow push as grief crashes in.,"as she registers where she is, the grief of the escape crashes back over @StellaPeloCorto — her mother, the allies — her face crumpling before she forces it flat, utterly alone in a strange universe.",,4,14:33
ACTO 2,"10 — ESCENA: La nave nodriza / ""te recogí"" · *(89-95)*",91,ESTÁNDAR,a huge shadow resolves into @Theron.,slow push to his unblinking eyes.,"a vast shadow shifts in the gloom and @Theron steps forward — tall, of another species, eyes that never blink, centuries worn into his face; @StellaPeloCorto scrambles back on guard.",,9,14:42
ACTO 2,"10 — ESCENA: La nave nodriza / ""te recogí"" · *(89-95)*",92,ESTÁNDAR,shot-reverse between them.,"steady, cold.","@StellaPeloCorto, broken-voiced, asks if he saved her; @Theron answers without warmth.",,9,14:51
ACTO 2,"10 — ESCENA: La nave nodriza / ""te recogí"" · *(89-95)*",93,INSERT,close on Theron eyeing the glow in her hand.,slow push to the Orb's light under her skin.,"@Theron's gaze locks onto the light pulsing in her palm as he speaks, reading her like a trail rather than a person.",,6,14:57
ACTO 2,"10 — ESCENA: La nave nodriza / ""te recogí"" · *(89-95)*",94,INSERT,primerísimo plano of her face and fist.,micro push as she closes her hand.,"@StellaPeloCorto closes her fist over the light and hides it against her chest, a new fear dawning — to him she is not a rescued child but bait.",,6,15:03
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,95,ESTABLISHING,"wide of the hold, crew turning to look.",slow track past hostile faces.,@StellaPeloCorto moves through the grimy hold under the cold stares of a mismatched alien crew who clearly think she does not belong aboard.,,12,15:15
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,96,ESTÁNDAR,medium; a plate knocked to the floor.,"handheld, dismissive energy.","crew shove past her, ignore her, and a passing hand knocks her food plate to the deck; @StellaPeloCorto watches it scatter, jaw tight.",,9,15:24
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,96A,ACCIÓN·insert,"wide, small in the corner of the hold.","static, the crew moving around her.","@StellaPeloCorto folds into a corner of the hold, knees up, watching the strange alien crew move around her — bracing, out of place.",,4,15:28
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,97,ESTÁNDAR,"low on @Vosk blocking her path, huge.",push up to his sneer.,"@Vosk — big, scarred — steps into her path and looks her up and down, taunting.",,9,15:37
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,98,ACCIÓN,"medium; she slaps his hand away, he grins and swings.",snap-zoom on the first punch.,@StellaPeloCorto smacks his prodding hand aside; @Vosk grins — exactly what he wanted — and throws the first heavy punch.,,7,15:44
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,99,ACCIÓN,"dirty brawl, dynamic.",fast handheld in the scuffle.,"@StellaPeloCorto is fast and slippery but small; @Vosk is a wall — he absorbs her hits, shrugs them off, and slams her back against the bulkhead.",,7,15:51
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,99A,ACCIÓN·insert,"tight, her ducking and countering.",whip-pans tracking her evasions.,"@StellaPeloCorto ducks two haymakers and lands a quick three-hit combo on @Vosk's ribs — it barely moves him, but her face is pure refusal-to-quit; he wipes his mouth, almost impressed.",,4,15:55
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,99B,ACCIÓN·insert,"tight, he hurls her into the lockers.","whip + impact frame, she rolls clear.","@Vosk catches her mid-combo and hurls @StellaPeloCorto into a wall of lockers; she crashes, rolls clear and comes up in a low crouch, breathing hard but unbroken.",,4,15:59
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,100,ESTÁNDAR,a giant stone hand enters frame and lifts Vosk away.,settle as Brog plants between them — a frame of weight.,a massive stone hand closes on @Vosk's shoulder and peels him off effortlessly; @Brog — a silent rock giant — plants himself between them and simply stands there.,,9,16:08
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,101,ESTÁNDAR,"medium on @Nima, four hands working without looking up.","gentle, settling.","@Nima, four arms busy at once, talks to @StellaPeloCorto without lifting her eyes; @Brog sits down beside the girl in silence.",,9,16:17
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,102,ESTÁNDAR,"two-shot, the small girl beside the rock giant.","still, quiet.","@StellaPeloCorto sits against @Brog's vast stone side; he doesn't comfort her, just stays — and she lets out a long breath, the first thread of belonging.",,9,16:26
ACTO 2,11 — ESCENA: Maltrato / Vosk / Brog y Nima / la dilatación · *(96-106)*,103,ESTÁNDAR,"close two-shot, the cruel truth landing.",slow push to her face as it sinks in.,@Theron tells her the worst part flatly; @StellaPeloCorto's face slowly registers the size of it — every day lost here is four lost at home.,,9,16:35
ACTO 2,12 — ESCENA: [AÑO 8] La resistencia / Marek / la encapuchada · *(104-108)*,104,ESTABLISHING,wide establishing of the decaying city.,slow mournful drift over the rot.,"the camera glides over Erdia eight years on — the warm gold gone grey, light-water guttering, machinery and smoke where gardens used to be.",,12,16:47
ACTO 2,12 — ESCENA: [AÑO 8] La resistencia / Marek / la encapuchada · *(104-108)*,104A,ACCIÓN·insert,detail of a thin grey light-water canal; a ragged child crouched.,slow drift to the dimming water.,a once-bright luzagua canal runs thin and grey; a hungry child watches the light gutter — the planet's slow death in one small image.,,4,16:51
ACTO 2,12 — ESCENA: [AÑO 8] La resistencia / Marek / la encapuchada · *(104-108)*,105,ESTÁNDAR,warm medium on @Marek among his people.,slow push to his face.,"@Marek — warm-voiced, the kind people follow — speaks to a circle of worn, hungry naieli who hang on his hope.",,9,17:00
ACTO 2,12 — ESCENA: [AÑO 8] La resistencia / Marek / la encapuchada · *(104-108)*,105A,ACCIÓN·insert,montage of gaunt hopeful faces.,slow pushes across faces.,"the camera moves over gaunt, hopeful faces lit by lamplight — varied people, not all white-haired — clinging to @Marek's words.",,4,17:04
ACTO 2,12 — ESCENA: [AÑO 8] La resistencia / Marek / la encapuchada · *(104-108)*,106,EMOCIÓN,"medium, intercut with nodding faces.",steady.,"@Marek plants the doubt that holds them together; the people nod, given a different enemy.",,11,17:15
ACTO 2,12 — ESCENA: [AÑO 8] La resistencia / Marek / la encapuchada · *(104-108)*,107,ESTÁNDAR,medium on the hooded figure beside Marek.,slow push that never reveals the face.,"beside @Marek stands a silent @VeraEncapuchada — strong woman's hands, a strand of white hair escaping the hood — face unseen.",,9,17:24
ACTO 2,12 — ESCENA: [AÑO 8] La resistencia / Marek / la encapuchada · *(104-108)*,108,EMOCIÓN,close on the hood and hidden jaw.,"held, intimate, withholding.","the hooded figure watches @Marek and the people, then lowers her head — a private grief we can't read yet.",,11,17:35
ACTO 2,13 — ESCENA: La misión / la traición de Vosk / la captura · *(109-114)*,109,ESTABLISHING,wide establishing over the scrap dunes.,"slow sweep, the crew tiny among wrecks.","Theron's crew, @StellaPeloCorto now older and harder among them, picks through a vast graveyard of dead ships on a scrap world.",,12,17:47
ACTO 2,13 — ESCENA: La misión / la traición de Vosk / la captura · *(109-114)*,109A,ACCIÓN·insert,crew clambering through towering dead hulls.,"slow sweep, tiny against the scrap.","the crew clambers through towering dead hulls, salvaging, tiny against a sky of scrap, @StellaPeloCorto among them.",,4,17:51
ACTO 2,13 — ESCENA: La misión / la traición de Vosk / la captura · *(109-114)*,110,ACCIÓN,sudden wide as bounty hunters spring the trap.,fast whip into chaos.,local @CazadorRecompensas erupt from the wrecks in an ambush; the crew scatters into chaos and dust.,,7,17:58
ACTO 2,13 — ESCENA: La misión / la traición de Vosk / la captura · *(109-114)*,111,EMOCIÓN,she hides; cut to @Vosk seeing her across the field.,"tense, still, then a snap between their eyes.","@StellaPeloCorto presses into a crevice, safe and unseen — until @Vosk spots her from across the scrap; their eyes meet and hold.",,11,18:09
ACTO 2,13 — ESCENA: La misión / la traición de Vosk / la captura · *(109-114)*,112,ACCIÓN,insert of Vosk's hand taking a stone; he throws it.,snap to the clang beside her.,"@Vosk's hand closes on a rock; he hurls it to clang against the metal right beside her hiding spot — a deliberate, ugly tell.",,7,18:16
ACTO 2,13 — ESCENA: La misión / la traición de Vosk / la captura · *(109-114)*,113,ACCIÓN,"Vosk shouting, hunters converging.",whip to the swarm closing on her.,@Vosk points and bellows; @CazadorRecompensas swarm @StellaPeloCorto's position as she bursts up fighting.,,7,18:23
ACTO 2,13 — ESCENA: La misión / la traición de Vosk / la captura · *(109-114)*,114,EMOCIÓN,they clamp a collar on her; her suit dies; a net takes Vosk too.,"push to her face, then snap to Vosk netted.","the hunters clamp a @CollarControl on @StellaPeloCorto and her suit goes dark; the last thing she sees is @Vosk smirking — until a net drops over him too, his grin collapsing.",,11,18:34
ACTO 2,14 — ESCENA: La fosa / Noah / la negativa · *(115-120)*,115,ESTABLISHING,wide establishing of the pit and the mob.,crane down into the arena.,"the camera drops into a brutal betting-pit — cages, auction blocks, and a sunken arena ringed by a roaring crowd laying bets on blood.",,12,18:46
ACTO 2,14 — ESCENA: La fosa / Noah / la negativa · *(115-120)*,115A,ACCIÓN·insert,"bookies taking frantic bets, the mob baying.",quick whip-pans across the stands.,"bookies snatch frantic bets as the mob bays for blood, tokens flashing, faces lit by the pit-glare — the cruelty of the place laid bare.",,4,18:50
ACTO 2,14 — ESCENA: La fosa / Noah / la negativa · *(115-120)*,116,ESTÁNDAR,"@StellaPeloCorto alone in the pit, scanning for an exit.","slow orbit, the crowd a blur above.","a barker presents ""the Orb thief, the sector's most wanted""; the crowd roars; @StellaPeloCorto stands in the pit, collar on, eyes hunting for a way out that isn't there.",,9,18:59
ACTO 2,14 — ESCENA: La fosa / Noah / la negativa · *(115-120)*,117,ACCIÓN,the far gate opens; Noah shoved in.,"push to him, battered but unbowed.",the opposite gate grinds open and @Noah is shoved into the pit — a battered human with a worn light-blade and eyes that refuse to quit.,,7,19:06
ACTO 2,14 — ESCENA: La fosa / Noah / la negativa · *(115-120)*,118,INSERT,"close on her face, recognition.","slow push, the crowd dropping out of focus.","@StellaPeloCorto freezes — @Noah looks uncannily like her own people, an echo she can't place (the exiled descendants); the noise of the pit falls away for a beat.",,6,19:12
ACTO 2,14 — ESCENA: La fosa / Noah / la negativa · *(115-120)*,119,ACCIÓN,Noah raises his blade; she does not.,"steady standoff, crowd roaring for blood.","@Noah lifts his light-blade on guard; @StellaPeloCorto keeps her hands open and refuses, voice low and certain.",,7,19:19
ACTO 2,14 — ESCENA: La fosa / Noah / la negativa · *(115-120)*,119A,ACCIÓN·insert,fast exchange — his blade vs her evasions.,"circling whip-pans, motion blur of the crowd.","forced to move, @Noah swings and @StellaPeloCorto slips every strike without landing one of her own, the two reading each other mid-fight — challenge turning to respect in a single look.",,4,19:23
ACTO 2,14 — ESCENA: La fosa / Noah / la negativa · *(115-120)*,120,ACCIÓN,"quick two-shot, then a whip to the guards.",snap as they pivot together.,"a fast exchange of words, a shared decision — and instead of each other, @StellaPeloCorto and @Noah whirl on the pit guards.",,7,19:30
ACTO 2,15 — ESCENA: La fuga / salva a Vosk / el respeto de Theron · *(121-126)*,121,ACCIÓN,she rips the collar; the Orb reignites; back-to-back with Noah.,fast handheld through the breakout.,@StellaPeloCorto tears the @CollarControl off — the @Orbe blazes back to life in her hand — and she and @Noah fight back-to-back as the pit erupts into a breakout.,,7,19:37
ACTO 2,15 — ESCENA: La fuga / salva a Vosk / el respeto de Theron · *(121-126)*,121A,ACCIÓN·insert,wide as a burst of light throws back a wave of guards.,the blast shoves the camera back; impact frame.,"@StellaPeloCorto channels the @Orbe for the first time in a fight — a raw, uncontrolled burst of light flings a wave of guards off their feet; the recoil rocks her, and her own face flashes with shock at her power.",,4,19:41
ACTO 2,15 — ESCENA: La fuga / salva a Vosk / el respeto de Theron · *(121-126)*,122,ACCIÓN,the outer wall bursts inward; Brog leads.,"whip to the breach, dust and light.",the outer wall caves in as @Brog smashes through with @Nima behind — Theron sent for her; daylight and dust pour into the pit.,,7,19:48
ACTO 2,15 — ESCENA: La fuga / salva a Vosk / el respeto de Theron · *(121-126)*,122A,ACCIÓN·insert,"Brog wading through guards, Nima's gadgets.",fast handheld through the breach.,@Brog wades through pit-guards like a landslide while @Nima's four arms hurl improvised gadgets; the breach widens in dust and sparks.,,4,19:52
ACTO 2,15 — ESCENA: La fuga / salva a Vosk / el respeto de Theron · *(121-126)*,123,ESTÁNDAR,"@Vosk on his knees, an energy device at his neck.","push to his face, resigned.","on a platform above the chaos, the pit-owners kneel a used-up prisoner for execution — it is @Vosk, an energy device leveled at the back of his neck.",,9,20:01
ACTO 2,15 — ESCENA: La fuga / salva a Vosk / el respeto de Theron · *(121-126)*,124,ACCIÓN,she changes direction toward the platform; Noah yells to go.,fast tracking with her decision.,"@StellaPeloCorto sees @Vosk; @Noah screams for her to run for the breach — and she breaks the other way, sprinting straight for the man who sold her.",,7,20:08
ACTO 2,15 — ESCENA: La fuga / salva a Vosk / el respeto de Theron · *(121-126)*,124A,ACCIÓN·insert,she vaults off a guard and flips over the melee.,"fast tracking up the ramp, chaos blurring.","@StellaPeloCorto vaults off a guard's shoulder, flips over the melee and sprints up the execution ramp, the chaos blurring past — pure forward drive toward @Vosk.",,4,20:12
ACTO 2,15 — ESCENA: La fuga / salva a Vosk / el respeto de Theron · *(121-126)*,125,ACCIÓN,"she breaks the platform, deflects the device, hauls him up.",impact + push to Vosk's stunned face.,"@StellaPeloCorto smashes the platform, knocks the energy device aside and drags @Vosk to his feet; he stares at her, uncomprehending.",,7,20:19
ACTO 2,15 — ESCENA: La fuga / salva a Vosk / el respeto de Theron · *(121-126)*,125A,ACCIÓN·insert,primerísimo plano of Vosk's face mid-escape.,"tight, chaos blurred behind.","for one beat amid the running and the sparks, @Vosk's hard face cracks — something breaking and re-forming behind his eyes as respect is born.",,4,20:23
ACTO 2,15 — ESCENA: La fuga / salva a Vosk / el respeto de Theron · *(121-126)*,126,ESTÁNDAR,"the group escapes; later, Theron watching from afar.","running handheld, then a still wide on Theron.","they all break free as the station burns; later @Theron watches @StellaPeloCorto from a distance — the girl who saved her own betrayer — while @Noah can't take his eyes off her, and she never notices.",,9,20:32
ACTO 2,16 — ESCENA: Montaje · vínculos / idioma / traje / domar el Orbe · *(127-132)*,127,ESTABLISHING,wide lyrical establishing under the comet sky.,"slow drift, peaceful.","the camera drinks in a gentle alien world streaked with comets, the found family camped in its glow — the warmth that balances the dark.",,12,20:44
ACTO 2,16 — ESCENA: Montaje · vínculos / idioma / traje / domar el Orbe · *(127-132)*,127A,ACCIÓN·insert,quick warm montage beats.,gentle drifting cuts.,"quick warm beats — shared food, repairs by firelight, a rare laugh from @StellaPeloCorto, @Noah watching her — the found family knitting together under the comets.",,4,20:48
ACTO 2,16 — ESCENA: Montaje · vínculos / idioma / traje / domar el Orbe · *(127-132)*,128,ESTÁNDAR,intimate two-shot at the fire.,"slow, warm.",@Brog teaches @StellaPeloCorto words of his dead language by the fire; she repeats the ancient sounds and he gives the faint shift that is a mountain's smile.,,9,20:57
ACTO 2,16 — ESCENA: Montaje · vínculos / idioma / traje / domar el Orbe · *(127-132)*,129,ESTÁNDAR,Nima's four hands working the new suit.,"detail of the craft, then to Stella.","@Nima fits @StellaPeloCorto with a new suit, all four hands working at once, talking as she rivets.",,9,21:06
ACTO 2,16 — ESCENA: Montaje · vínculos / idioma / traje / domar el Orbe · *(127-132)*,129A,ACCIÓN·insert,she seals the new suit and stands.,"slow push, a transformation.","@StellaPeloCorto seals the @TrajeNuevo and stands; in the comet-light she looks older, harder — a transformation from refugee to soldier.",,4,21:10
ACTO 2,16 — ESCENA: Montaje · vínculos / idioma / traje / domar el Orbe · *(127-132)*,130,ACCIÓN,the Orb's light bucking out of control.,handheld kicked by each discharge.,"@StellaPeloCorto trains the @Orbe and it fights her — discharges throw her off her feet, blow panels apart; she gets up again, jaw set, frustrated and stubborn.",,7,21:17
ACTO 2,16 — ESCENA: Montaje · vínculos / idioma / traje / domar el Orbe · *(127-132)*,131,ESTÁNDAR,controlled light streaming from her open palm.,"slow awe, steadying with her.","at last @StellaPeloCorto channels it — light flows from her palm in a controlled ribbon, like a river that finally learns to run; her face: hard-won calm.",,9,21:26
ACTO 2,16 — ESCENA: Montaje · vínculos / idioma / traje / domar el Orbe · *(127-132)*,131A,ACCIÓN·insert,"wider shot, the ribbon of light arcing into the night.","slow awe, steady.","a ribbon of luzagua light arcs gracefully from @StellaPeloCorto's palm into the night, steady and bright; @Brog and @Nima watch, quietly amazed.",,4,21:30
ACTO 2,16 — ESCENA: Montaje · vínculos / idioma / traje / domar el Orbe · *(127-132)*,132,ESTÁNDAR,"primer plano of her face, the comet sky behind.","slow push, resolute.","@StellaPeloCorto in her new suit no longer looks like a survivor but like a weapon that chose its cause; she turns her eyes toward where Erdia lies, far across the dark.",,9,21:39
ACTO 2,17 — ESCENA: Theron pide la mano y el Orbe / la sospecha · *(133-136)*,132A,ACCIÓN·insert,"a brief wordless cut to a greyer, sicker Erdia.",slow mournful drift.,"a brief wordless cut to Erdia, greyer and sicker than before — fewer lights, more smoke — the 1:4 clock made flesh: she grows a little, her world dies a lot.",,4,21:43
ACTO 2,17 — ESCENA: Theron pide la mano y el Orbe / la sospecha · *(133-136)*,133,ESTÁNDAR,"close as she opens her palm, the Orb exposed.",slow push to the glow.,@Theron quietly asks; @StellaPeloCorto opens her hand and the @Orbe glows bare between them.,,9,21:52
ACTO 2,17 — ESCENA: Theron pide la mano y el Orbe / la sospecha · *(133-136)*,134,EMOCIÓN,his hand drifts toward the Orb; she holds her breath; he stops.,"tense micro push, then release.",@Theron's hand moves as if to tear it out; @StellaPeloCorto goes rigid — then he reads how it's woven into her blood and pulls back.,,11,22:03
ACTO 2,17 — ESCENA: Theron pide la mano y el Orbe / la sospecha · *(133-136)*,135,INSERT,close on Theron going very still.,slow push as something kindles behind his eyes.,@StellaPeloCorto describes her King; @Theron goes utterly still — it sounds like his prey — but says nothing.,,6,22:09
