clip,title,prompt
119A,el choque de tanteo (acción ×2),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Noah, @StellaPeloCorto. Shot/lens: fast exchange — his blade vs her evasions. Camera: circling whip-pans, motion blur of the crowd. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: spot-glare, blade-light streaks. Action: forced to move, @Noah swings and @StellaPeloCorto slips every strike without landing one of her own, the two reading each other mid-fight — challenge turning to respect in a single look. Mood: charged, sizing-up. Audio: SFX only — blade whooshes, fast footwork, crowd roar. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
120,la oferta / se giran contra los guardias,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Noah. Shot/lens: quick two-shot, then a whip to the guards. Camera: snap as they pivot together. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: harsh. Action: a fast exchange of words, a shared decision — and instead of each other, @StellaPeloCorto and @Noah whirl on the pit guards. Dialogue (@Noah): ""Is this a trap?"" — (@StellaPeloCorto): ""An offer."" — (@Noah): ""Then you'll have to help me get out of here."" Mood: alliance forged. Audio: SFX only — quick words, then a charge. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
121,caos / arranca el collar,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Noah. Props: @CollarControl, @Orbe. Shot/lens: she rips the collar; the Orb reignites; back-to-back with Noah. Camera: fast handheld through the breakout. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: sparks, the Orb's flare returning. Action: @StellaPeloCorto tears the @CollarControl off — the @Orbe blazes back to life in her hand — and she and @Noah fight back-to-back as the pit erupts into a breakout. Mood: explosive momentum. Audio: SFX only — collar snapping, surge of light, brawl. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
121A,el Orbe se desata (acción ×2),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto. Props: @Orbe. Shot/lens: wide as a burst of light throws back a wave of guards. Camera: the blast shoves the camera back; impact frame. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: a huge flare of luzagua light. Action: @StellaPeloCorto channels the @Orbe for the first time in a fight — a raw, uncontrolled burst of light flings a wave of guards off their feet; the recoil rocks her, and her own face flashes with shock at her power. Mood: raw power, awe and fear. Audio: SFX only — a building hum, a thunderous discharge. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
122,Brog y Nima rompen la pared,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Brog, @Nima, @StellaPeloCorto. Shot/lens: the outer wall bursts inward; Brog leads. Camera: whip to the breach, dust and light. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: daylight blasting through the new hole. Action: the outer wall caves in as @Brog smashes through with @Nima behind — Theron sent for her; daylight and dust pour into the pit. Mood: rescue, relief. Audio: SFX only — wall shattering, Nima shouting. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
122A,Brog y Nima arrasan,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Brog, @Nima. Shot/lens: Brog wading through guards, Nima's gadgets. Camera: fast handheld through the breach. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: dust, sparks, daylight. Action: @Brog wades through pit-guards like a landslide while @Nima's four arms hurl improvised gadgets; the breach widens in dust and sparks. Mood: rescue force. Audio: SFX only — crashing bodies, gadget pops, dust. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
123,la ejecución de Vosk,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. An execution platform over the pit. Characters: @Vosk, executioners. Shot/lens: @Vosk on his knees, an energy device at his neck. Camera: push to his face, resigned. Light: harsh overhead. Action: on a platform above the chaos, the pit-owners kneel a used-up prisoner for execution — it is @Vosk, an energy device leveled at the back of his neck. Mood: grim. Audio: SFX only — a charging device, jeers. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
124,Stella va por él,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Noah, @Vosk. Shot/lens: she changes direction toward the platform; Noah yells to go. Camera: fast tracking with her decision. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: chaos, sparks. Action: @StellaPeloCorto sees @Vosk; @Noah screams for her to run for the breach — and she breaks the other way, sprinting straight for the man who sold her. Mood: impulsive grace. Audio: SFX only — Noah's shout, her running, chaos. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
124A,Stella salta hacia la plataforma,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto. Shot/lens: she vaults off a guard and flips over the melee. Camera: fast tracking up the ramp, chaos blurring. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: chaos, firelight. Action: @StellaPeloCorto vaults off a guard's shoulder, flips over the melee and sprints up the execution ramp, the chaos blurring past — pure forward drive toward @Vosk. Mood: kinetic resolve. Audio: SFX only — vault, rushing chaos, her breath. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
125,"la salva / ""porque no soy tú""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Vosk. Shot/lens: she breaks the platform, deflects the device, hauls him up. Camera: impact + push to Vosk's stunned face. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: sparks, the deflected energy flaring. Action: @StellaPeloCorto smashes the platform, knocks the energy device aside and drags @Vosk to his feet; he stares at her, uncomprehending. Dialogue (@Vosk): ""I sold you. Why—?"" — (@StellaPeloCorto): ""Because I'm not you."" Mood: grace over vengeance. Audio: SFX only — crashing platform, deflected blast, his stunned breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
125A,Vosk quebrado (acción ×2 / reacción),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vosk. Shot/lens: primerísimo plano of Vosk's face mid-escape. Camera: tight, chaos blurred behind. Light: firelight from the burning station. Action: for one beat amid the running and the sparks, @Vosk's hard face cracks — something breaking and re-forming behind his eyes as respect is born. Mood: a turning point, internal. Audio: SFX only — muffled chaos, his ragged breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
126,escapan / Theron la observa,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. The station burning behind them. Characters: @StellaPeloCorto, @Noah, @Brog, @Nima, @Vosk, @Theron. Shot/lens: the group escapes; later, Theron watching from afar. Camera: running handheld, then a still wide on Theron. Light: firelight, then the cold of the ship. Action: they all break free as the station burns; later @Theron watches @StellaPeloCorto from a distance — the girl who saved her own betrayer — while @Noah can't take his eyes off her, and she never notices. Mood: earned respect, unspoken. Audio: SFX only — fire, running, then quiet. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
127,establishing planeta de cometas,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaCometas — match its architecture, materials, colors; lush, detailed, painterly background. A strange beautiful world under a sky streaked with slow comets; soft grass, drifting light, the found family at rest. Characters: @StellaPeloCorto, @Brog, @Nima, @Noah. Shot/lens: wide lyrical establishing under the comet sky. Camera: slow drift, peaceful. Light: soft, comet-glow, warm. Action: the camera drinks in a gentle alien world streaked with comets, the found family camped in its glow — the warmth that balances the dark. Mood: tender respite. Audio: SFX only — soft wind, a crackling fire, distant comet hiss. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
127A,montaje de la familia,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaCometas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Brog, @Nima, @Noah. Shot/lens: quick warm montage beats. Camera: gentle drifting cuts. Light: soft comet-glow, firelight. Action: quick warm beats — shared food, repairs by firelight, a rare laugh from @StellaPeloCorto, @Noah watching her — the found family knitting together under the comets. Mood: warmth, respite. Audio: SFX only — fire crackle, low laughter, tools. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
128,Brog le enseña su idioma,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaCometas — match its architecture, materials, colors; lush, detailed, painterly background. By a comet-lit fire. Characters: @Brog, @StellaPeloCorto. Shot/lens: intimate two-shot at the fire. Camera: slow, warm. Light: firelight on stone and skin. Action: @Brog teaches @StellaPeloCorto words of his dead language by the fire; she repeats the ancient sounds and he gives the faint shift that is a mountain's smile. Mood: quiet kinship. Audio: SFX only — fire crackle, low guttural words. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
129,Nima le construye el traje,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaCometas — match its architecture, materials, colors; lush, detailed, painterly background. Nima's open-air workbench. Characters: @Nima, @StellaPeloCorto. Props: @TrajeNuevo. Shot/lens: Nima's four hands working the new suit. Camera: detail of the craft, then to Stella. Light: warm work-glow. Action: @Nima fits @StellaPeloCorto with a new suit, all four hands working at once, talking as she rivets. Dialogue (@Nima): ""Your old suit was a child's. This one's for whoever's going back into that palace."" Mood: forging a warrior. Audio: SFX only — rivets, tools, a soft hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
129A,se prueba el traje nuevo,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaCometas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Nima. Props: @TrajeNuevo. Shot/lens: she seals the new suit and stands. Camera: slow push, a transformation. Light: comet-light rimming her. Action: @StellaPeloCorto seals the @TrajeNuevo and stands; in the comet-light she looks older, harder — a transformation from refugee to soldier. Mood: becoming. Audio: SFX only — suit seals clicking, a breath. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
130,entrena el Orbe (inestable),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaCometas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto. Props: @Orbe, @LlaveDeLuz. Shot/lens: the Orb's light bucking out of control. Camera: handheld kicked by each discharge. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: wild flares of luzagua light. Action: @StellaPeloCorto trains the @Orbe and it fights her — discharges throw her off her feet, blow panels apart; she gets up again, jaw set, frustrated and stubborn. Mood: the grind of mastery. Audio: SFX only — surges, blasts, her falls. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
131,lo canaliza (el río),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaCometas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto. Props: @Orbe. Shot/lens: controlled light streaming from her open palm. Camera: slow awe, steadying with her. Light: a clean ribbon of luzagua light. Action: at last @StellaPeloCorto channels it — light flows from her palm in a controlled ribbon, like a river that finally learns to run; her face: hard-won calm. Mood: mastery, grace. Audio: SFX only — a smooth flowing hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
131A,la luz controlada (asombro),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaCometas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Brog, @Nima. Props: @Orbe. Shot/lens: wider shot, the ribbon of light arcing into the night. Camera: slow awe, steady. Light: a clean bright ribbon of luzagua light. Action: a ribbon of luzagua light arcs gracefully from @StellaPeloCorto's palm into the night, steady and bright; @Brog and @Nima watch, quietly amazed. Mood: grace, hope. Audio: SFX only — a smooth flowing hum. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
132,un arma que eligió su causa,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaCometas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto. Props: @TrajeNuevo. Shot/lens: primer plano of her face, the comet sky behind. Camera: slow push, resolute. Light: comet-glow rimming her. Action: @StellaPeloCorto in her new suit no longer looks like a survivor but like a weapon that chose its cause; she turns her eyes toward where Erdia lies, far across the dark. Mood: resolve. Audio: SFX only — wind, a low comet hiss. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
132A,INTERCUT — Erdia se pudre más,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Shot/lens: a brief wordless cut to a greyer, sicker Erdia. Camera: slow mournful drift. Light: grey, smoke, fewer lights. Action: a brief wordless cut to Erdia, greyer and sicker than before — fewer lights, more smoke — the 1:4 clock made flesh: she grows a little, her world dies a lot. Mood: dread, time. Audio: SFX only — distant machinery, a thin hum. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
133,"""muéstrame la mano y el Orbe""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. The dim bridge of the nodriza, night. Characters: @Theron, @StellaPeloCorto. Props: @Orbe, @LlaveDeLuz. Shot/lens: close as she opens her palm, the Orb exposed. Camera: slow push to the glow. Light: the @Orbe lighting both faces in the dark. Action: @Theron quietly asks; @StellaPeloCorto opens her hand and the @Orbe glows bare between them. Dialogue (@Theron): ""Show me the hand. And the Orb."" Mood: charged trust. Audio: SFX only — low hum, quiet. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
134,"casi lo arranca / ""más útil respirando""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Theron, @StellaPeloCorto. Props: @Orbe. Shot/lens: his hand drifts toward the Orb; she holds her breath; he stops. Camera: tense micro push, then release. Light: Orb-glow, his eyes calculating. Action: @Theron's hand moves as if to tear it out; @StellaPeloCorto goes rigid — then he reads how it's woven into her blood and pulls back. Dialogue (@Theron): ""Forcing it out would kill you. You're more useful breathing."" Mood: cold restraint. Audio: SFX only — a held breath, low hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
135,describe al Rey inmortal,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Theron. Shot/lens: close on Theron going very still. Camera: slow push as something kindles behind his eyes. Light: cold, his face half-lit. Action: @StellaPeloCorto describes her King; @Theron goes utterly still — it sounds like his prey — but says nothing. Dialogue (@StellaPeloCorto): ""They say the King is immortal. Never aged. Arrived hundreds of years ago."" Mood: a spark of suspicion. Audio: SFX only — low hum, her voice. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
136,"""los reyes dicen que son eternos""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Theron. Shot/lens: Theron alone, staring into the dark after she leaves. Camera: slow push, brooding. Light: a single cold source. Action: @Theron closes the subject, then stays staring into the void, a twenty-thousand-year suspicion stirring awake. Dialogue (@Theron): ""Kings always say they're eternal. Sleep."" Mood: brooding, ancient. Audio: SFX only — deep ship hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
137,el proyector,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Stella's small bunk, night. Characters: @Theron, @StellaPeloCorto. Props: @Proyector. Shot/lens: Theron sets a projector down; a cold image blooms. Camera: push into the projector light. Light: the @Proyector's pale glow. Action: @Theron sets a @Proyector on her table and tells her to look; a holographic image blooms in the dark. Dialogue (@Theron): ""A good hunter looks before he discards. You look too."" Mood: ominous gift. Audio: SFX only — projector hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
138,Naio esclavo,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Inside the projection. Characters: @NaioEsclavo. Shot/lens: the projected image of Naio, old and chained. Camera: slow push into the hologram. Light: pale projector glow. Action: the projection shows @NaioEsclavo — Stella's father, aged, chained, a slave in a fog-mine. Mood: grief. Audio: SFX only — projector hum, a faint mine drone. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
139,Selka soldado (gris-azul),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Inside the projection. Characters: @SelkaGeneral (grey-blue eyes, scar over her left eye). Shot/lens: the projected image of Selka training, cold. Camera: slow push, chilling. Light: pale glow. Action: the projection shows @SelkaGeneral — no longer a baby, a young soldier training with surgical cold, perfect and empty, the same grey-blue eyes as her mother. Mood: uncanny, sorrow. Audio: SFX only — projector hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
139A,primer plano: la General fría,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @SelkaGeneral (grey-blue eyes, scar over her left eye). Shot/lens: the projection pushes in on Selka's cold face. Camera: slow push into the hologram. Light: pale projector glow. Action: the projection pushes in on @SelkaGeneral's cold, perfect face — a stranger now wearing the baby's features, grey-blue eyes empty. Mood: uncanny sorrow. Audio: SFX only — projector hum. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
140,Vera viva (la capucha cae),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Inside the projection. Characters: @VeraEncapuchada (grey-blue eyes) → face revealed. Shot/lens: the hooded leader's hood slips — Vera's face. Camera: slow push to the reveal. Light: pale glow on her grey-blue eyes. Action: in the projection a hooded leader directs the resistance; the hood slips for a second — it is @VeraEncapuchada's face, Vera, alive. Mood: thunderstruck. Audio: SFX only — projector hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
141,"""está viva. Mamá está viva.""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Theron. Shot/lens: primerísimo plano sostenido of her face. Camera: held, barely breathing. Light: projector glow trembling on her. Action: @StellaPeloCorto's hand flies to her mouth, eyes spilling; @Theron watches her from the door like a man about to witness the impossible. Dialogue (@StellaPeloCorto): ""She's alive. Mom's alive."" Mood: shattering hope. Audio: SFX only — projector hum, a caught sob. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
142,establishing minas de niebla,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @MinasNiebla — match its architecture, materials, colors; lush, detailed, painterly background. RÓTULO ERDIA · AÑO 14. Fog-drowned mines, columns of shackled slaves, dim lamps in the murk. Characters: @VeraEncapuchada. Shot/lens: wide of the misty mines, the hooded figure slipping through. Camera: slow drift through fog. Light: cold, foggy, lamp-glow. Action: in the fog-mines of Year 14, @VeraEncapuchada slips between columns of slaves, searching face after face. Mood: grim, searching. Audio: SFX only — chains, drips, a low mine drone. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
143,encuentra a Naio,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @MinasNiebla — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @VeraEncapuchada (grey-blue eyes), @NaioEsclavo. Shot/lens: she lowers her hood to an old broken man. Camera: intimate, trembling. Light: a single lamp between them. Action: @VeraEncapuchada lowers her hood just enough; @NaioEsclavo stares, unable to believe it. Dialogue (@NaioEsclavo): ""Vera? You died. I saw—"" Mood: disbelief, reunion. Audio: SFX only — chains, his shaking breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
144,"""no vayas, es una trampa""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @MinasNiebla — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @VeraEncapuchada (grey-blue eyes), @NaioEsclavo. Shot/lens: close two-shot, his plea. Camera: steady, intimate. Light: lamp-glow. Action: @VeraEncapuchada tells him Selka is alive but changed; @NaioEsclavo grips her, begging her not to go. Dialogue (@VeraEncapuchada): ""Selka's alive. But she's not… not her anymore."" — (@NaioEsclavo): ""Don't go. It's a trap. I beg you."" Mood: dread, love. Audio: SFX only — low voices, chains. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
145,"""vuelvo por ti"" / va al palacio","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @MinasNiebla — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @VeraEncapuchada (grey-blue eyes), @NaioEsclavo. Shot/lens: she takes his face, then leaves into the fog. Camera: push to her resolve, then she recedes; he reaches after. Light: cold fog swallowing her. Action: @VeraEncapuchada cups @NaioEsclavo's face, decided, then turns and vanishes into the fog toward the palace as he reaches uselessly after her. Dialogue (@VeraEncapuchada): ""I'll come back for you. But first I go for my daughter."" Mood: fatal resolve. Audio: SFX only — fading footsteps, fog drone. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
146,establishing aposentos / Marek en la puerta,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @AposentosGeneral — match its architecture, materials, colors; lush, detailed, painterly background. The General's cold, perfect quarters — a child raised into a weapon. Characters: @VeraEncapuchada (grey-blue eyes), @Marek, @Korin, @Lessa. Shot/lens: Vera enters; Korin/Lessa cover; Marek at the door. Camera: slow, tense. Light: cold, austere. Action: @VeraEncapuchada slips in while @Korin and @Lessa cover the hall; @Marek stops her at the door with a hand on her shoulder. Dialogue (@Marek): ""I'll watch here. If it goes wrong, run. Bring her back."" Mood: quiet dread. Audio: SFX only — soft steps, a distant patrol. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
147,Selka de espaldas,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @AposentosGeneral — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @SelkaGeneral (grey-blue eyes, scar over her left eye), @VeraEncapuchada. Shot/lens: Selka's back, Vera in the doorway. Camera: slow push to Selka. Light: cold, single source. Action: inside, @SelkaGeneral stands with her back turned, knowing she is not alone. Dialogue (@SelkaGeneral): ""I know what you are. A resistance rat. Come to kill me in my sleep?"" Mood: ice. Audio: SFX only — a low room tone. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
