bloque,acto,secuencia,planos,n_planos,entra,sale,dur_seg,accion,dialogo
91,ACTO 2,SEC 16 — Montaje años · Año 3,131-134,4,25:13,25:32,19,"Inserto: un monitor de muñeca nuevo, idéntico al que marcó 'MAX' aquel / @Nima ajusta una placa sobre el hombro de @Stella, sin dejar de mirar su / @Nima la mira a los ojos / @Stella deja aterrizar la palabra 'palacio'",Tu traje viejo era de niña. | Este es de quien va a volver a entrar a ese palacio.
92,ACTO 2,SEC 16 — Montaje años · Año 3,135-139,5,25:32,25:52,20,"Match cut: de la muñeca 'MAX' a la palma de @Stella cargando el Orbe en / Entrenamiento del Orbe, inestable: una descarga la tira al piso, revie / Chispas cayendo, el panel reventado humeando / @Stella en el suelo, respirando fuerte, la palma quemada / Otro intento",
93,ACTO 2,SEC 16 — Montaje años · Año 3,140-142,3,25:52,26:12,20,"La luzagua fluye de su mano en un hilo estable y limpio / @Stella de pie en la luz de su propia palma / Pillow de cierre: el cielo de cometas otra vez, más estelas que antes",
94,ACTO 2,SEC 17 — Puente · noche,143-146,4,26:12,26:32,20,"El puente de la nave nodriza, de noche / @Theron pide algo con un gesto de la mano / @Stella duda un instante, leyéndolo / Abre la palma",Muéstrame la mano. Y el Orbe.
95,ACTO 2,SEC 17 — Puente · noche,147-150,4,26:32,26:52,20,"La mano de @Theron se acerca a la de ella como quien va a arrancar algo / @Stella contiene el aliento, sin retirar la mano / La mano de @Theron se detiene / @Theron retira la mano, hablando casi para sí",No. Sacarlo a la fuerza te mataría a ti… y quizá a quien lo intente.
96,ACTO 2,SEC 17 — Puente · noche,151-154,4,26:52,27:11,19,"@Theron la mira / @Stella guarda la mano, seca / @Stella, bajando la voz, cambiando de tema hacia lo que le quema / @Stella, un beat, la carnada de la sospecha","Sigues siendo más útil respirando. | Qué consuelo. | @Theron. En mi mundo dicen cosas del Rey. Que es inmortal. Que nunca envejeció. | Que llegó hace cientos de años, de ninguna parte."
97,ACTO 2,SEC 17 — Puente · noche,155-157,3,27:11,27:31,20,"@Theron se queda muy quieto / @Theron cierra el tema, controlado / @Stella sale",Los reyes siempre dicen que son eternos. Duerme.
98,ACTO 2,SEC 17 — Puente · noche,158,1,27:31,27:38,7,"El ventanal: el vacío estrellado, inmóvil, infinito",
99,ACTO 2,SEC 18 — Camarote · noche,159-162,4,27:38,27:57,19,"Camarote de @Stella, penumbra / @Theron entra y deja un proyector de imagen sobre la mesa / @Theron, desde la puerta / El proyector se enciende",No me interesa tu planeta. Pero un buen cazador siempre mira antes de descartar. | Mira tú también.
100,ACTO 2,SEC 18 — Camarote · noche,163-166,4,27:57,28:17,20,"En la imagen: @NAIO, viejo, encadenado, esclavo en una mina de niebla / En la imagen: @SELKA, joven soldado, entrenando con frialdad quirúrgica / En la imagen: una figura encapuchada liderando la resistencia junto a  / La capucha cae un segundo",
101,ACTO 2,SEC 18 — Camarote · noche,167-169,3,28:17,28:36,19,"@Stella se lleva la mano a la boca / @Stella, un susurro destrozado, apenas aire / @Theron la observa desde la puerta",…Está viva. Mamá está viva.
102,ACTO 2,SEC 18 — Camarote · noche,170-171,2,28:36,28:51,15,"@Theron se va / El rostro de @Stella iluminado por la imagen de @Vera, mirando el infini",
103,ACTO 2,SEC 19 — Minas de niebla · Año 14,172-174,3,28:51,29:09,18,RÓTULO: ERDIA · AÑO 14 / Minas de niebla: siluetas de esclavos encorvados entre vapores grises / La niebla se enrosca sobre el barro,
104,ACTO 2,SEC 19 — Minas de niebla · Año 14,175-177,3,29:09,29:23,14,"La figura encapuchada —@VERA— se desliza entre los esclavos, buscando e / Encuentra una cara / @Vera se baja la capucha lo justo para que él la vea",
105,ACTO 2,SEC 19 — Minas de niebla · Año 14,178-180,3,29:23,29:40,17,"@Naio la reconoce y no puede creerlo, sin aire / @Vera, urgente, la voz baja / A @Vera se le quiebra la voz","…¿@Vera? No. No, tú moriste. Yo te vi— | Está viva, @Naio. @Selka está viva. | Pero ya no es… ya no es ella. Le metieron otra cosa adentro."
106,ACTO 2,SEC 19 — Minas de niebla · Año 14,181-183,3,29:40,29:57,17,"@Naio, aterrado por ella, la sujeta con la mirada / @Vera le toma la cara con las dos manos, decidida / Lo abraza fuerte, un instante robado","No vayas. Si está con él, es una trampa. Te lo ruego. | Vuelvo por ti. Te lo juro. Pero primero voy por mi hija."
107,ACTO 2,SEC 19 — Minas de niebla · Año 14,184-185,2,29:57,30:11,14,"@Vera se aleja hacia el palacio / La mano temblorosa de @Naio abierta en el vapor, tragada por la niebla",
108,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,186-188,3,30:11,30:26,15,"RÓTULO: ERDIA · AÑO 14 — APOSENTOS DE LA GENERAL / Aposentos fríos, palaciegos, en penumbra azulada / En la puerta: @KORIN y @LESSA cubriendo afuera",
109,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,189-192,4,30:26,30:45,19,"@Marek, grave, le aprieta el hombro / @Marek, un beat cargado / @Vera asiente / La puerta se cierra despacio tras ella","Yo vigilo aquí. Si algo sale mal, corre. No mires atrás. | Tráela de vuelta."
110,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,193-195,3,30:45,31:02,17,"Adentro, de espaldas, @SELKA la General / @Selka, sin voltearse, fría / @Vera se baja la capucha",Sé lo que eres. Una rata de la resistencia. ¿Vienes a matarme mientras duermo? | Vengo por ti.
111,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,196-200,5,31:02,31:22,20,"@Selka empieza a girarse hacia la voz / @Selka ve la cara de @Vera / El adiestramiento aplasta ese temblor / @Selka se lanza al ataque / @Vera esquiva, bloquea, retrocede",Traidora.
112,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,201-204,4,31:22,31:40,18,"La hoja de @Selka pasa a un pelo de la cara de @Vera; @Vera solo desvía e / @Vera, entre golpes, suplicando con la voz / @Selka ante una enemiga que se niega a herirla / El arma de @Selka baja lentamente",No voy a lastimarte. No puedo. Mírame. Mírame.
113,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,205-207,3,31:40,31:59,19,"@Vera avanza y la envuelve en un abrazo / @Vera al oído de @Selka, llorando / @Selka, en el abrazo, cierra los ojos","Vámonos a casa. Tú, yo y tu padre. Empecemos de nuevo. Olvidemos todo esto."
114,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,208-211,4,31:59,32:15,16,"Bajo el abrazo, la mano de @Selka desliza un arma oculta hacia el costa / El arma se clava en el costado de @Vera / @Vera ahoga un grito / La mano de @Vera sube temblando hasta la cara de @Selka —esa cara— buscá",
115,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,212-214,3,32:15,32:34,19,"@Vera, un hilo de voz, rota, traicionada / @Selka no responde / @Selka sostiene a @Vera contra sí; el abrazo se vuelve otra cosa",…@Selka. ¿Por qué.
116,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,215-218,4,32:34,32:53,19,"Desde la puerta entreabierta, @KORIN y @LESSA lo ven todo: la General ab / @Marek llega un segundo tarde, la cara desencajada de horror / @Korin, susurro, retrocediendo / @Vera resbala al piso, muy despacio, sostenida un instante por @Selka y ",…La mató. Su propia hija la mató.
117,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,219-221,3,32:53,33:13,20,"En el suelo, @Vera mira la cara de @Selka hasta el último segundo / La mano de @Vera cae abierta contra el piso frío / @Selka de pie sobre el cuerpo de su madre, el arma goteando luz, todo e",
118,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,222-223,2,33:13,33:30,17,"@Selka, sin querer, sin entender, empieza a tararear una nana que no re / Vista cenital: la General diminuta de pie sobre el cuerpo de su madre ","(tarareando, quebrado) mmm… mm-mmm…"
119,ACTO 2,SEC 20 — Muerte de @Vera · Año 14,224,1,33:30,33:37,7,La única vela de luz de la sala tiembla y casi se apaga,
120,ACTO 3,SEC 21 — Puerto en ruinas,1-3,3,33:37,33:57,20,"Amanecer gris sobre la ciudad dorada rota, partida en dos por la niebl / Un mural del Rey descascarado; debajo, pintado con bronca, un solo nom / Un hilo de luzagua opaca corre entre la chatarra, casi seco, sin brill",
121,ACTO 3,SEC 21 — Puerto en ruinas,4-6,3,33:57,34:14,17,"Una nave pequeña desciende entre la chatarra y se posa; el polvo se le / Se abre la escotilla; bajan @Brog, @Nima, @Noah y una mujer joven encapuc / El rostro de @Stella bajo la capucha, recorriendo con los ojos su propi",
122,ACTO 3,SEC 21 — Puerto en ruinas,7-10,4,34:14,34:31,17,"@Stella pasa entre la gente; rostros hundidos la miran con el odio que  / Un viejo escupe al suelo al oír el nombre de @Stella en otra conversaci / @Noah camina pegado a ella, baja la voz, la mira de reojo / @Stella sostiene la mirada en las ruinas, sin responder aún; el peso de",Todo un planeta te odia. ¿Y aun así volviste.
123,ACTO 3,SEC 21 — Puerto en ruinas,11-14,4,34:31,34:49,18,"@Stella, los ojos en la ciudad rota, responde bajo / Un grupo de la resistencia los rodea de golpe, armas de luz en alto; a / @Korin apunta a @Stella; ella se baja la capucha despacio, revelando el  / @Korin escruta su cara, sin reconocerla; el dedo sobre el gatillo de en",Por eso volví.
124,ACTO 3,SEC 21 — Puerto en ruinas,15-18,4,34:49,35:07,18,"Los ojos ámbar de @Stella bajo el pelo oscuro; el rasgo que la delata / Algo se rompe en la cara de @Korin: la reconoce; la voz le tiembla / @Korin baja el arma, temblando; los demás dudan / @Stella sostiene la mirada de @Korin en silencio, tragando veinte años",…¿@Stella? Yo te conocí de pequeña —siempre al lado de tu madre. | Eres tú. Volviste.
125,ACTO 3,SEC 21 — Puerto en ruinas,19-22,4,35:07,35:27,20,"Erdia vista desde la órbita, dorada y enferma, girando lenta en el neg / En la nave nodriza, @Vosk mira la pantalla donde Erdia hierve; aprieta  / @Vosk se gira hacia @Theron, decidido / @Theron, inmóvil, sin apartar los ojos de la pantalla",Déjame bajar. Está sola ahí abajo. | No es nuestra guerra.
126,ACTO 3,SEC 21 — Puerto en ruinas,23-25,3,35:27,35:41,14,"@Vosk sostiene el silencio, la mandíbula tensa, antes de responder / @Vosk, la voz baja y firme / @Theron lo mira largamente; no dice que sí, tampoco lo impide",Se volvió mía el día que me sacó de esa fosa.
127,ACTO 3,SEC 22 — Refugio / @Naio,26-28,3,35:41,35:57,16,"Interior del refugio en penumbra; goteo, tela colgada, luz fría filtrá / @Korin guía a @Stella hacia un anciano esclavo recién liberado, encorvad / El rostro del anciano, ciego de un ojo, irreconocible: @Naio",
128,ACTO 3,SEC 22 — Refugio / @Naio,29-32,4,35:57,36:16,19,"@Stella se queda sin aire; reconoce a su padre bajo la ruina de su cara / @Stella se arrodilla despacio frente a él / @Stella, la voz apenas audible / @Naio levanta la cabeza, buscando una cara que no encuentra; los ojos v",Papá.
129,ACTO 3,SEC 22 — Refugio / @Naio,33-35,3,36:16,36:33,17,"Las manos de @Naio encuentran la mano de @Stella y palpan bajo la piel l / El ojo bueno de @Naio se llena de lágrimas al sentir el latido / @Naio, la voz quebrada de asombro","Volviste. Veinte años. Te dije que no dejaras que él lo tuviera, y… mírate. Lo cuidaste. Toda tu vida."
130,ACTO 3,SEC 22 — Refugio / @Naio,36-38,3,36:33,36:49,16,"La mano temblorosa de @Naio toca el pelo teñido de oscuro de su hija / @Stella deja aterrizar esas palabras, conteniendo el llanto, sin cortar / @Stella, firme pese a las lágrimas","Mi niña del río. | Mamá está viva, papá. La vi. Voy a sacarlos a los dos de aquí. A @Selka también. Te lo prometo."
131,ACTO 3,SEC 22 — Refugio / @Naio,39-41,3,36:49,37:06,17,"@Naio la escucha; el peso de lo que la resistencia cree sobre @Vera cruz / La mano de @Naio aprieta la de @Stella; la deja ir con su esperanza inta / Padre e hija, dos siluetas pequeñas en la penumbra del refugio; el got",
132,ACTO 3,SEC 23 — El asalto,42-45,4,37:06,37:19,13,"El palacio-cúpula se alza sobre la ciudad de niebla; abajo, la resiste / Estalla la guerra en las calles: luz contra luz, sin fuego; cuerpos y  / @Brog abre una brecha en un muro a puñetazos; los bloques saltan / Los cuatro brazos de @Nima destripan un robot imperial; chispas frías",
133,ACTO 3,SEC 23 — El asalto,46-50,5,37:19,37:33,14,"@Noah desvía una descarga de luz y cubre el flanco de @Stella / Un comando de la resistencia arranca a un grupo de esclavos de una jau / @Stella mira hacia la cúpula más alta; decide romper su misión de recon / @Stella escala el palacio sola entre destellos de luz, subiendo hacia l / Sus dedos aferran un saliente de metal frío; la ciudad diminuta muy ab",
134,ACTO 3,SEC 23 — El asalto,51-54,4,37:33,37:47,14,"@Stella llega al techo de cristal de la cúpula; abajo, en el centro, un / @Stella mira hacia abajo a través del cristal; respira; carga el Orbe e / El puño de @Stella baja sobre el cristal; la luz del Orbe estalla en la / El cristal se hace añicos; @Stella cae hacia el trono entre una lluvia ",
135,ACTO 3,SEC 24 — Duelo de hermanas,55-58,4,37:47,38:04,17,"@Stella aterriza entre vidrios rotos, rueda y se incorpora / Las esquirlas de cristal se asientan en el suelo pulido; el eco murien / Frente a ella, @Selka —la General, 21, blanca, cicatriz sobre el ojo iz / Las dos hermanas frente a frente por primera vez en veinte años; ningu",
136,ACTO 3,SEC 24 — Duelo de hermanas,59-64,6,38:04,38:24,20,"@Selka, glacial / @Selka desenfunda una hoja de luz; el filo se enciende con un siseo / @Stella abre las manos, sin atacar / @Selka, sin creerle nada / @Selka se lanza; la hoja de luz traza un arco contra @Stella / @Stella bloquea, desvía, esquiva con destreza de otro universo; más ráp",La ladrona. Volviste a la escena del crimen. | Qué considerada. | No vine a pelear contigo. | Todos dicen eso antes de morir.
137,ACTO 3,SEC 24 — Duelo de hermanas,65-70,6,38:24,38:44,20,"@Stella la desarma de un giro; la hoja de @Selka vuela y repica en el su / @Stella tiene el remate y no lo da; no quiere vencerla, quiere alcanzar / @Stella retrocede esquivando, buscando sus ojos / @Selka, sin un parpadeo, recupera su hoja / Eso le duele a @Stella más que cualquier golpe; la frase aterriza en su / @Selka aprovecha la guardia baja, la barre y la tira al piso, la hoja e",¿Por qué mataste a nuestra madre? | He ejecutado a cientos. No recuerdo a ninguna que se llamara «madre».
138,ACTO 3,SEC 24 — Duelo de hermanas,71-75,5,38:44,39:02,18,"POV de @Stella en el suelo: la hoja de luz suspendida sobre su cara, ce / La palma de @Stella se ahueca por reflejo; una chispa de @Gix baja y bai / @Stella levanta la mano con la chispa hacia la frente de @Selka: el gest / @Selka se congela; la hoja tiembla en el aire; su cuerpo reconoce el ge / Bajo la General asoma, un instante, una niña perdida",…¿Por qué… por qué conozco eso?
139,ACTO 3,SEC 24 — Duelo de hermanas,76-80,5,39:02,39:19,17,"Las dos quietas, a un latido de despertar; la chispa flotando entre su / Ese latido aterra a @Selka; no tiene dónde poner lo que siente / @Selka agarra la mano de @Stella con furia; ataca lo que la confunde / La palma de @Stella: el Orbe sale con un fogonazo cegador, arrancado de / @Stella se desploma; los ojos en blanco; cae en coma",
140,ACTO 3,SEC 24 — Duelo de hermanas,81-84,4,39:19,39:38,19,"Una chispa sale del brazalete y se hunde en el pecho de @Stella: @Gix, a / @Selka de pie, el Orbe en la mano, respirando agitada, sin saber qué ac / @Selka a los guardias, la voz no del todo firme / El cuerpo inmóvil de @Stella en el suelo; la respiración apenas moviénd",Cuéntenlo. La traidora cayó.
141,ACTO 3,SEC 25 — La nave despierta,85-88,4,39:38,39:57,19,"@Selka camina hacia la consola del trono, el Orbe en la mano; por fin v / @Selka coloca el Orbe en su hueco en la consola; encaja con un latido / @Selka espera que la luz vuelva; sostiene el aliento / La luz no vuelve; la sala del trono permanece muerta, fría",
142,ACTO 3,SEC 25 — La nave despierta,89-92,4,39:57,40:13,16,"Todo tiembla; las paredes del palacio empiezan a plegarse como placas / El piso se vuelve cubierta; el trono se abre como un puente de mando;  / Lo que todos creímos palacio —lo que el pueblo creyó un meteorito— se  / @Selka retrocede, por primera vez en su vida con miedo",
143,ACTO 3,SEC 25 — La nave despierta,93-95,3,40:13,40:28,15,"@Selka, hacia la sombra del trono, la voz temblando / Desde el trono en sombra, una risa hecha de mil voces a la vez / La sombra del Rey; la voz múltiple","Majestad… el Orbe debería traer la luz. ¿Qué es esto? ¿Qué está pasando? | La luz nunca fue para ellos, pequeña. Y nunca fue tuya."
144,ACTO 3,SEC 26 — 'Fui yo',96-98,3,40:28,40:43,15,"@Vorthan se levanta del trono en la penumbra; su silueta empieza a defo / La carne del Rey se pliega y se recompone; toma la forma de @Vera / Con el rostro de la madre, la cosa camina despacio hacia @Stella agoniz",
145,ACTO 3,SEC 26 — 'Fui yo',99-101,3,40:43,41:00,17,"«@Vera» se arrodilla junto a @Stella; le acaricia el pelo teñido, dulce  / @Stella entreabre los ojos por última vez; no ve al monstruo / POV de @Stella, borroso: el rostro de su madre inclinado sobre ella, ba",
146,ACTO 3,SEC 26 — 'Fui yo',102-104,3,41:00,41:18,18,"@Stella, un hilo de voz, una sonrisa que rompe el corazón / «@Vera» con la voz exacta de la madre; ternura envenenada / Los ojos de @Stella se cierran despacio; se va en paz, creyendo que su ","Mamá… viniste. | Aquí estoy, mi amor. Descansa."
147,ACTO 3,SEC 26 — 'Fui yo',105-107,3,41:18,41:35,17,"La mano de @Stella se afloja del todo sobre el suelo frío; queda quieta / La cosa se incorpora sobre el cuerpo; el rostro de @Vera se disuelve y  / @Selka mira, sin entender, cómo el héroe del pueblo sale de su Rey",
148,ACTO 3,SEC 26 — 'Fui yo',108-111,4,41:35,41:55,20,"«@Marek» sonríe con la cara del líder bueno / «@Marek», la revelación cayendo como una losa / @Selka encaja el golpe en silencio; el suelo moral desapareciendo bajo  / La forma se encoge, se hace pequeña; muda por última vez",¿No te preguntaste nunca cómo el Rey sabía siempre dónde golpear a la resistencia? | No había resistencia. Solo yo. Llevándolos a todos de la mano hacia el matadero.
149,ACTO 3,SEC 26 — 'Fui yo',112-114,3,41:55,42:11,16,"La cosa es ahora una niña pequeña de pelo blanco: @Selka de niña / La niña ladea la cabeza hacia la General, con la voz más tierna del mu / @Selka recibe la frase; la cara empezando a agrietarse",Fuiste tú quien la mató. Al menos… eso creyó ella.
150,ACTO 3,SEC 26 — 'Fui yo',115-117,3,42:11,42:29,18,"«@Selka niña», cruel y dulce / @Selka, la respiración rota, negando apenas con la cabeza, sin poder ha / La niña, el golpe final","Tu madre vino a salvarte. Y murió mirando esta cara. Odiándote con toda el alma. | Porque la maté yo, pequeña. Vistiendo tu rostro. Te puse el cuchillo en la mano sin que lo supieras."
151,ACTO 3,SEC 26 — 'Fui yo',118-120,3,42:29,42:47,18,"La niña ríe con una risita infantil que hiela la sangre / @Selka retrocede, la cabeza negando sola; veinte años de certezas cayén / La verdad aterriza entera: nunca mató a su madre, y su madre murió cre",
152,ACTO 3,SEC 26 — 'Fui yo',121-123,3,42:47,43:04,17,"Los labios de @Selka empiezan a tararear, sin querer, la nana; el hilo  / Por fin lo entiende: es la canción de su madre, la que @Vera le cantaba / @Selka se quiebra entera y cae de rodillas sobre la cubierta",
153,ACTO 3,SEC 26 — 'Fui yo',124-126,3,43:04,43:20,16,"@Selka, la nana rota saliéndole sola / Un grito que sale de lo más hondo / @Selka mira a @Stella, muerta-en-coma en el piso; el grito partido",…esa canción. Era de ella. | …ERA MI MADRE. | ERA NUESTRA MADRE.
154,ACTO 3,SEC 26 — 'Fui yo',127,1,43:20,43:29,9,"@Selka de rodillas junto al cuerpo de su hermana, sola en la cubierta i",
155,ACTO 3,SEC 27 — El Parásito,128-131,4,43:29,43:48,19,"La cosa abandona todos los disfraces; la carne de la niña se deshace / Toma su forma real: el Parásito, criatura colosal hecha de la luz roba / La mole del monstruo se alza hasta el techo; lo que dejó hueco el cora / @Selka —recién rota, recién humana— con una sola certeza nueva: su herm",
156,ACTO 3,SEC 27 — El Parásito,132-139,8,43:48,44:07,19,"La mano de @Selka recoge su hoja de luz del suelo; el filo se reenciend / @Selka se lanza contra el monstruo para cubrir el rescate de @Stella / No le da la talla, ni cerca; la hoja de luz apenas raya la mole / El Parásito, casi sin notarlo, le secciona el brazo de un golpe de luz / @Selka cae, manca, pero viva; rueda por la cubierta / @Selka en el suelo, el muñón humeante de luz, la cara de puro shock, la / Una explosión revienta el mamparo; el metal se dobla hacia dentro / Entra @Theron entre el humo, inmenso, quieto",
157,ACTO 3,SEC 27 — El Parásito,140-144,5,44:07,44:25,18,"@Theron mira al monstruo; por primera vez en veinte mil años lo ve con  / @Theron, bajo, casi un rezo / @Brog y @Nima entran por la brecha mientras @Theron le hace frente al Par / @Brog levanta a @Stella en coma como a una pluma; @Nima carga a @Selka man / @Vosk cubre la puerta con su hoja en alto; llegó, después de todo",Ahí estás.
158,ACTO 3,SEC 27 — El Parásito,145-147,3,44:25,44:39,14,"@Nima grita a @Theron por encima del estruendo / @Theron retrocede de espaldas, sin quitarle los ojos al Parásito, hacia / El Parásito llenando la sala, indiferente a la huida; sostener su inme",¡Las tengo! ¡VÁMONOS!
159,ACTO 3,SEC 28 — El portal,148-150,3,44:39,44:57,18,"La nave-palacio termina de arrancarse de la ciudad, escupiendo escombr / La mole se eleva sobre Erdia, tapando el cielo gris / En el cielo se abre un portal: un tajo de luz hacia el próximo mundo q",
160,ACTO 3,SEC 28 — El portal,151-152,2,44:57,45:11,14,"La nave-palacio entra en el portal y desaparece; no persigue a nadie,  / El cielo se cierra sobre la ciudad; el tajo de luz se sutura; silencio",
161,ACTO 3,SEC 28 — El portal,153-155,3,45:11,45:31,20,"Ceniza y escombros cayendo lentos sobre las ruinas vacías; el aire qui / La nave de @Theron se aleja en la dirección contraria, pequeña contra E / En el puente, @Theron mira el punto donde estuvo el portal; por primera",
162,ACTO 3,SEC 28 — El portal,156-158,3,45:31,45:50,19,"@Theron, la voz baja / @Theron, la certeza asentándose en sus ojos que no parpadean / El vacío del espacio; Erdia enferma girando lenta, sola, en el negro",Veinte mil años buscándolo. | Por fin sé adónde va a llevarlo.
163,ACTO 3,SEC 29 — Enfermería,159-160,2,45:50,46:05,15,"Enfermería en quietud; el zumbido bajo de la nave; luz azulada y estan / @Stella flota en un tanque de soporte vital, dormida, intacta, ausente;",
164,ACTO 3,SEC 29 — Enfermería,161-162,2,46:05,46:20,15,"Junto al tanque, @Naio le sostiene la mirada a su hija dormida sin pode / Sobre el pecho de @Stella, dentro del agua, late un resplandor tenue: G",
165,ACTO 3,SEC 29 — Enfermería,163-165,3,46:20,46:37,17,"@Theron mira la brasa, en voz baja / La brasa titila, débil, dentro del agua; sostener la fragilidad / @Selka entra; el brazo le falta, vendado; la cara de quien perdió todo ",Eso es lo único que la sostiene. | Y se está apagando.
166,ACTO 3,SEC 29 — Enfermería,166-168,3,46:37,46:52,15,"@Selka se acerca a @Naio, su padre; lo mira; le toma la mano con la únic / @Selka, sin casi voz / @Selka deja aterrizar la palabra; la culpa desbordándole en silencio",Perdóname.
167,ACTO 3,SEC 29 — Enfermería,169-171,3,46:52,47:10,18,"@Selka, quebrada / @Selka traga, junta la voluntad, jura / La mano de @Naio, sin palabras, aprieta la de @Selka; la perdona con eso",No sabía. Nada. Me lo robaron todo y ni cuenta me di. | Voy a volver. Voy a salvar lo que quede de Erdia. Te lo juro por ella.
168,ACTO 3,SEC 29 — Enfermería,172-174,3,47:10,47:26,16,"@Selka se vuelve hacia el tanque, hacia su hermana dormida / La palma única de @Selka se apoya en el cristal frío, justo sobre la ca / @Selka, la frente contra el cristal",No sabía que eras tú.
169,ACTO 3,SEC 29 — Enfermería,175-177,3,47:26,47:44,18,"@Selka sostiene la mirada en la cara dormida de su hermana; el silencio / @Selka, un ruego / La cara de @Stella dormida en el agua; quietud absoluta; sostener",Despierta. Y déjame decírtelo a la cara.
170,ACTO 3,SEC 29 — Enfermería,178-179,2,47:44,47:58,14,"Desde el fondo del coma, con la voz de su madre dentro, los labios de  / La brasa de @Gix late una vez más dentro del tanque: débil, pequeña; pe",…un río que vuelve.
171,ACTO 3,SEC 29 — Enfermería,180-181,2,47:58,48:13,15,"@Selka con la frente en el cristal, oyendo el susurro, los ojos cerránd / El tanque iluminado en la enfermería a oscuras, tres figuras veladas a",
172,ACTO 3,SEC 29 — Enfermería,182-183,2,48:13,48:27,14,"La brasa de @Gix, un último latido tenue en el agua, sostenido hasta qu / Corte a negro",
